file_name,sample_name,cell,genotype,purification,derivitisation,replicate
GV2627_cockmam_01,minusDox_BRD4,HeLa,iJ6,JQ1,yes,
GV2627_cockmam_02,18h_1pc_BRD4,HeLa,iJ6,JQ1,yes,
GV2627_cockmam_03,8h_1pc_BRD4,HeLa,iJ6,JQ1,yes,
GV2627_cockmam_04,4h_1pc_BRD4,HeLa,iJ6,JQ1,yes,
GV2627_cockmam_05,18h_4pc_BRD4,HeLa,iJ6,JQ1,yes,
GV2627_cockmam_06,8h_4pc_BRD4,HeLa,iJ6,JQ1,yes,
GV2627_cockmam_07,4h_4pc_BRD4,HeLa,iJ6,JQ1,yes,
GV2627_cockmam_08,18h_21pc_BRD4,HeLa,iJ6,JQ1,yes,
GV2627_cockmam_09,8h_21pc_BRD4,HeLa,iJ6,JQ1,yes,
GV2627_cockmam_10,4h_21pc_BRD4,HeLa,iJ6,JQ1,yes,
GV2627_cockmam_11,minusDox_BRD23,HeLa,iJ6,JQ1,yes,
GV2627_cockmam_11R,minusDox_BRD23,HeLa,iJ6,JQ1,yes,
GV2627_cockmam_12,18h_1pc_BRD23,HeLa,iJ6,JQ1,yes,
GV2627_cockmam_13,8h_1pc_BRD23,HeLa,iJ6,JQ1,yes,
GV2627_cockmam_14,4h_1pc_BRD23,HeLa,iJ6,JQ1,yes,
GV2627_cockmam_15,18h_4pc_BRD23,HeLa,iJ6,JQ1,yes,
GV2627_cockmam_16,8h_4pc_BRD23,HeLa,iJ6,JQ1,yes,
GV2627_cockmam_17,4h_4pc_BRD23,HeLa,iJ6,JQ1,yes,
GV2627_cockmam_18,18h_21pc_BRD23,HeLa,iJ6,JQ1,yes,
GV2627_cockmam_19,8h_21pc_BRD23,HeLa,iJ6,JQ1,yes,
GV2627_cockmam_20,4h_21pc_BRD23,HeLa,iJ6,JQ1,yes,
