file_name,sample_name,cell,genotype,purification,derivitisation,replicate
20201203_GV2132_MC325,JMJD6peptide_HeLaWT_derivatised,HeLa,WT,JMJD6peptide,yes,1
20201203_GV2132_MC326,JMJD6peptide_HeLaWT_derivatised,HeLa,WT,JMJD6peptide,yes,1
20201203_GV2132_MC327,JMJD6peptide_HeLaWT_derivatised,HeLa,WT,JMJD6peptide,yes,1
20201203_GV2132_MC328,JMJD6peptide_HeLaWT_derivatised,HeLa,WT,JMJD6peptide,yes,1
20201203_GV2132_MC329,JMJD6peptide_HeLaWT_derivatised,HeLa,WT,JMJD6peptide,yes,1
20201203_GV2132_MC330,JMJD6peptide_HeLaWT_derivatised,HeLa,WT,JMJD6peptide,yes,1
20201203_GV2132_MC331,JMJD6peptide_HeLaWT_derivatised,HeLa,WT,JMJD6peptide,yes,1
20201203_GV2132_MC332,JMJD6peptide_HeLaWT_derivatised,HeLa,WT,JMJD6peptide,yes,1
20201203_GV2132_MC333,JMJD6peptide_HeLaWT_derivatised,HeLa,WT,JMJD6peptide,yes,1
20201203_GV2132_MC334,JMJD6peptide_HeLaWT_derivatised,HeLa,WT,JMJD6peptide,yes,1
20201203_GV2132_MC335,JMJD6peptide_HeLaWT_derivatised,HeLa,WT,JMJD6peptide,yes,1
20201203_GV2132_MC336,JMJD6peptide_HeLaWT_derivatised,HeLa,WT,JMJD6peptide,yes,1
20201203_GV2132_MC337,JMJD6peptide_HeLaWT_derivatised,HeLa,WT,JMJD6peptide,yes,1
20201203_GV2132_MC338,JMJD6peptide_HeLaWT_derivatised,HeLa,WT,JMJD6peptide,yes,1
20201203_GV2132_MC339,JMJD6peptide_HeLaWT_derivatised,HeLa,WT,JMJD6peptide,yes,1
20201203_GV2132_MC355,JMJD6peptide_HeLaWT_derivatised,HeLa,WT,JMJD6peptide,yes,1
20201203_GV2132_MC356,JMJD6peptide_HeLaWT_derivatised,HeLa,WT,JMJD6peptide,yes,1
20201203_GV2132_MC357,JMJD6peptide_HeLaWT_derivatised,HeLa,WT,JMJD6peptide,yes,1
20201203_GV2132_MC358,JMJD6peptide_HeLaWT_derivatised,HeLa,WT,JMJD6peptide,yes,1
20201203_GV2132_MC359,JMJD6peptide_HeLaWT_derivatised,HeLa,WT,JMJD6peptide,yes,1
20201203_GV2132_MC360,JMJD6peptide_HeLaWT_derivatised,HeLa,WT,JMJD6peptide,yes,1
20201203_GV2132_MC361,JMJD6peptide_HeLaWT_derivatised,HeLa,WT,JMJD6peptide,yes,1
20201203_GV2132_MC362,JMJD6peptide_HeLaWT_derivatised,HeLa,WT,JMJD6peptide,yes,1
20201203_GV2132_MC363,JMJD6peptide_HeLaWT_derivatised,HeLa,WT,JMJD6peptide,yes,1
20201203_GV2132_MC364,JMJD6peptide_HeLaWT_derivatised,HeLa,WT,JMJD6peptide,yes,1
20201203_GV2132_MC365,JMJD6peptide_HeLaWT_derivatised,HeLa,WT,JMJD6peptide,yes,1
