Job	Running time [min]	Start date	Start time	End date	End time
Configuring 	0.03378711	26/11/2024	23:59:12	26/11/2024	23:59:14
Assemble run info 	0.13457367	26/11/2024	23:59:14	26/11/2024	23:59:22
Finish run info 	0.016790686	26/11/2024	23:59:22	26/11/2024	23:59:23
Testing fasta files 	0.01679621	26/11/2024	23:59:23	26/11/2024	23:59:24
Testing raw files 	0.034512006	26/11/2024	23:59:24	26/11/2024	23:59:27
Feature detection 	0.5681935	26/11/2024	23:59:27	27/11/2024	00:00:01
Deisotoping 	0.8182767	27/11/2024	00:00:01	27/11/2024	00:00:50
MS/MS preparation 	3.4198105	27/11/2024	00:00:50	27/11/2024	00:04:15
Calculating peak properties 	0.03449578	27/11/2024	00:04:15	27/11/2024	00:04:17
Combining apl files for first search 	0.2669793	27/11/2024	00:04:17	27/11/2024	00:04:33
Preparing searches 	11.773584	27/11/2024	00:04:33	27/11/2024	00:16:19
MS/MS first search 	43.492638	27/11/2024	00:16:19	27/11/2024	00:59:49
Read search results for recalibration 	0.9683747	27/11/2024	00:59:49	27/11/2024	01:00:47
Mass recalibration 	3.71999	27/11/2024	01:00:47	27/11/2024	01:04:30
Calculating masses 	0.10123811	27/11/2024	01:04:30	27/11/2024	01:04:36
MS/MS preparation for main search 	1.6187274	27/11/2024	01:04:36	27/11/2024	01:06:14
Combining apl files for main search 	0.28367326	27/11/2024	01:06:14	27/11/2024	01:06:31
MS/MS main search 	122.43747	27/11/2024	01:06:31	27/11/2024	03:08:57
Preparing combined folder  	0.08348899	27/11/2024	03:08:57	27/11/2024	03:09:02
Correcting errors 	0.13351941	27/11/2024	03:09:02	27/11/2024	03:09:10
Reading search engine results 	0.6181132	27/11/2024	03:09:10	27/11/2024	03:09:47
Preparing reverse hits 	0.116857894	27/11/2024	03:09:47	27/11/2024	03:09:54
Finish search engine results 	0.10121473	27/11/2024	03:09:54	27/11/2024	03:10:00
Filter identifications (MS/MS) 	0.10122871	27/11/2024	03:10:00	27/11/2024	03:10:06
Calculating PEP 	4.352599	27/11/2024	03:10:06	27/11/2024	03:14:27
Copying identifications 	0.06784528	27/11/2024	03:14:27	27/11/2024	03:14:31
Applying FDR 	0.25025308	27/11/2024	03:14:31	27/11/2024	03:14:46
Assembling second peptide MS/MS 	0.5515265	27/11/2024	03:14:46	27/11/2024	03:15:19
Combining second peptide files 	0.05015802	27/11/2024	03:15:19	27/11/2024	03:15:22
Second peptide search 	34.90484	27/11/2024	03:15:22	27/11/2024	03:50:17
Reading search engine results (SP) 	0.3346813	27/11/2024	03:50:17	27/11/2024	03:50:37
Finish search engine results (SP) 	0.017823286	27/11/2024	03:50:37	27/11/2024	03:50:38
Filtering identifications (SP) 	0.017811485	27/11/2024	03:50:38	27/11/2024	03:50:39
Applying FDR (SP) 	0.23353665	27/11/2024	03:50:39	27/11/2024	03:50:53
Re-quantification 	0.01780758	27/11/2024	03:50:53	27/11/2024	03:50:54
Reporter quantification 	0.01783095	27/11/2024	03:50:54	27/11/2024	03:50:55
Prepare protein assembly 	0.45032528	27/11/2024	03:50:55	27/11/2024	03:51:22
Assembling proteins 	4.18676	27/11/2024	03:51:22	27/11/2024	03:55:33
Assembling unidentified peptides 	0.01778519	27/11/2024	03:55:33	27/11/2024	03:55:34
Finish protein assembly 	3.118597	27/11/2024	03:55:34	27/11/2024	03:58:41
Updating identifications 	0.034502044	27/11/2024	03:58:41	27/11/2024	03:58:44
Label-free preparation 	0.01680232	27/11/2024	03:58:44	27/11/2024	03:58:45
Label-free normalization 	0.20021407	27/11/2024	03:58:45	27/11/2024	03:58:57
Label-free quantification 	0.067827426	27/11/2024	03:58:57	27/11/2024	03:59:01
Label-free collect 	3.3854353	27/11/2024	03:59:01	27/11/2024	04:02:24
Estimating complexity 	0.051185265	27/11/2024	04:02:24	27/11/2024	04:02:27
Prepare writing tables  	0.033463757	27/11/2024	04:02:27	27/11/2024	04:02:29
Writing tables 	3.9702187	27/11/2024	04:02:29	27/11/2024	04:06:27
Finish writing tables  	0.05013494	27/11/2024	04:06:27	27/11/2024	04:06:30
