Job	Running time [min]	Start date	Start time	End date	End time
Configuring 	0.01678234	20/11/2024	05:17:18	20/11/2024	05:17:19
Assemble run info 	0.13456921	20/11/2024	05:17:19	20/11/2024	05:17:27
Finish run info 	0.01679154	20/11/2024	05:17:27	20/11/2024	05:17:28
Testing fasta files 	0.016800385	20/11/2024	05:17:28	20/11/2024	05:17:29
Testing raw files 	0.03452271	20/11/2024	05:17:29	20/11/2024	05:17:31
Feature detection 	0.53494734	20/11/2024	05:17:31	20/11/2024	05:18:03
Deisotoping 	0.95177215	20/11/2024	05:18:03	20/11/2024	05:19:00
MS/MS preparation 	3.470064	20/11/2024	05:19:00	20/11/2024	05:22:29
Calculating peak properties 	0.05123415	20/11/2024	05:22:29	20/11/2024	05:22:32
Combining apl files for first search 	0.33375838	20/11/2024	05:22:32	20/11/2024	05:22:52
Preparing searches 	10.856894	20/11/2024	05:22:52	20/11/2024	05:33:43
MS/MS first search 	119.82694	20/11/2024	05:33:43	20/11/2024	07:33:33
Read search results for recalibration 	1.0851856	20/11/2024	07:33:33	20/11/2024	07:34:38
Mass recalibration 	5.5546694	20/11/2024	07:34:38	20/11/2024	07:40:11
Calculating masses 	0.11795268	20/11/2024	07:40:11	20/11/2024	07:40:18
MS/MS preparation for main search 	1.76899	20/11/2024	07:40:18	20/11/2024	07:42:04
Combining apl files for main search 	0.3336108	20/11/2024	07:42:04	20/11/2024	07:42:24
MS/MS main search 	65.99281	20/11/2024	07:42:24	20/11/2024	08:48:24
Preparing combined folder  	0.08353286	20/11/2024	08:48:24	20/11/2024	08:48:29
Correcting errors 	0.35034093	20/11/2024	08:48:29	20/11/2024	08:48:50
Reading search engine results 	0.5848403	20/11/2024	08:48:50	20/11/2024	08:49:25
Preparing reverse hits 	0.066842586	20/11/2024	08:49:25	20/11/2024	08:49:29
Finish search engine results 	0.1012203	20/11/2024	08:49:29	20/11/2024	08:49:35
Filter identifications (MS/MS) 	0.1179722	20/11/2024	08:49:35	20/11/2024	08:49:42
Calculating PEP 	2.518382	20/11/2024	08:49:42	20/11/2024	08:52:13
Copying identifications 	0.06826274	20/11/2024	08:52:13	20/11/2024	08:52:17
Applying FDR 	0.33364758	20/11/2024	08:52:17	20/11/2024	08:52:37
Assembling second peptide MS/MS 	0.6348143	20/11/2024	08:52:37	20/11/2024	08:53:16
Combining second peptide files 	0.06680656	20/11/2024	08:53:16	20/11/2024	08:53:20
Second peptide search 	20.063456	20/11/2024	08:53:20	20/11/2024	09:13:23
Reading search engine results (SP) 	0.38474026	20/11/2024	09:13:23	20/11/2024	09:13:46
Finish search engine results (SP) 	0.017852891	20/11/2024	09:13:46	20/11/2024	09:13:47
Filtering identifications (SP) 	0.034505583	20/11/2024	09:13:47	20/11/2024	09:13:50
Applying FDR (SP) 	0.25026485	20/11/2024	09:13:50	20/11/2024	09:14:05
Re-quantification 	0.017858522	20/11/2024	09:14:05	20/11/2024	09:14:06
Reporter quantification 	0.017892234	20/11/2024	09:14:06	20/11/2024	09:14:07
Prepare protein assembly 	0.43369874	20/11/2024	09:14:07	20/11/2024	09:14:33
Assembling proteins 	3.8869731	20/11/2024	09:14:33	20/11/2024	09:18:26
Assembling unidentified peptides 	0.01783883	20/11/2024	09:18:26	20/11/2024	09:18:27
Finish protein assembly 	3.952808	20/11/2024	09:18:27	20/11/2024	09:22:24
Updating identifications 	0.0345372	20/11/2024	09:22:24	20/11/2024	09:22:26
Label-free preparation 	0.016805138	20/11/2024	09:22:26	20/11/2024	09:22:27
Label-free normalization 	0.23365274	20/11/2024	09:22:27	20/11/2024	09:22:41
Label-free quantification 	0.08455254	20/11/2024	09:22:41	20/11/2024	09:22:46
Label-free collect 	6.4042115	20/11/2024	09:22:46	20/11/2024	09:29:11
Estimating complexity 	0.0345806	20/11/2024	09:29:11	20/11/2024	09:29:13
Prepare writing tables  	0.0334808	20/11/2024	09:29:13	20/11/2024	09:29:15
Writing tables 	7.1388893	20/11/2024	09:29:15	20/11/2024	09:36:23
Finish writing tables  	0.06682566	20/11/2024	09:36:23	20/11/2024	09:36:27
