Job	Running time [min]	Start date	Start time	End date	End time
Configuring 	0.017166346	15/12/2024	00:25:53	15/12/2024	00:25:54
Assemble run info 	0.28719053	15/12/2024	00:25:54	15/12/2024	00:26:11
Finish run info 	0.016792314	15/12/2024	00:26:11	15/12/2024	00:26:12
Testing fasta files 	0.016803874	15/12/2024	00:26:12	15/12/2024	00:26:13
Testing raw files 	0.05381332	15/12/2024	00:26:13	15/12/2024	00:26:16
Feature detection 	3.606161	15/12/2024	00:26:16	15/12/2024	00:29:53
Deisotoping 	5.757466	15/12/2024	00:29:53	15/12/2024	00:35:38
MS/MS preparation 	5.073621	15/12/2024	00:35:38	15/12/2024	00:40:42
Calculating peak properties 	0.18708135	15/12/2024	00:40:42	15/12/2024	00:40:54
Combining apl files for first search 	1.1174628	15/12/2024	00:40:54	15/12/2024	00:42:01
Preparing searches 	11.340282	15/12/2024	00:42:01	15/12/2024	00:53:21
MS/MS first search 	264.09232	15/12/2024	00:53:21	15/12/2024	05:17:27
Read search results for recalibration 	7.3079805	15/12/2024	05:17:27	15/12/2024	05:24:45
Mass recalibration 	11.510253	15/12/2024	05:24:45	15/12/2024	05:36:16
Calculating masses 	0.38715026	15/12/2024	05:36:16	15/12/2024	05:36:39
MS/MS preparation for main search 	3.0556388	15/12/2024	05:36:39	15/12/2024	05:39:42
Combining apl files for main search 	1.1007166	15/12/2024	05:39:42	15/12/2024	05:40:48
MS/MS main search 	128.44684	15/12/2024	05:40:48	15/12/2024	07:49:15
Preparing combined folder  	0.066848494	15/12/2024	07:49:15	15/12/2024	07:49:19
Correcting errors 	0.90065795	15/12/2024	07:49:19	15/12/2024	07:50:13
Reading search engine results 	1.1044279	15/12/2024	07:50:13	15/12/2024	07:51:20
Preparing reverse hits 	0.10018228	15/12/2024	07:51:20	15/12/2024	07:51:26
Finish search engine results 	0.2371306	15/12/2024	07:51:26	15/12/2024	07:51:40
Filter identifications (MS/MS) 	0.23718569	15/12/2024	07:51:40	15/12/2024	07:51:54
Calculating PEP 	11.690194	15/12/2024	07:51:54	15/12/2024	08:03:35
Copying identifications 	0.15385526	15/12/2024	08:03:35	15/12/2024	08:03:45
Applying FDR 	1.3841864	15/12/2024	08:03:45	15/12/2024	08:05:08
Assembling second peptide MS/MS 	3.2389174	15/12/2024	08:05:08	15/12/2024	08:08:22
Combining second peptide files 	0.31697825	15/12/2024	08:08:22	15/12/2024	08:08:41
Second peptide search 	39.12929	15/12/2024	08:08:41	15/12/2024	08:47:49
Reading search engine results (SP) 	0.6206974	15/12/2024	08:47:49	15/12/2024	08:48:26
Finish search engine results (SP) 	0.053680483	15/12/2024	08:48:26	15/12/2024	08:48:29
Filtering identifications (SP) 	0.07032769	15/12/2024	08:48:29	15/12/2024	08:48:33
Applying FDR (SP) 	2.40143	15/12/2024	08:48:33	15/12/2024	08:50:58
Re-quantification 	0.020303646	15/12/2024	08:50:58	15/12/2024	08:50:59
Reporter quantification 	0.020637944	15/12/2024	08:50:59	15/12/2024	08:51:00
Prepare protein assembly 	0.76720625	15/12/2024	08:51:00	15/12/2024	08:51:46
Assembling proteins 	11.043675	15/12/2024	08:51:46	15/12/2024	09:02:49
Assembling unidentified peptides 	0.037551265	15/12/2024	09:02:49	15/12/2024	09:02:51
Finish protein assembly 	7.98819	15/12/2024	09:02:51	15/12/2024	09:10:50
Updating identifications 	0.037064046	15/12/2024	09:10:50	15/12/2024	09:10:52
Estimating complexity 	0.087253705	15/12/2024	09:10:52	15/12/2024	09:10:58
Prepare writing tables  	0.03346412	15/12/2024	09:10:58	15/12/2024	09:11:00
Writing tables 	10.193292	15/12/2024	09:11:00	15/12/2024	09:21:11
Finish writing tables  	0.50038797	15/12/2024	09:21:11	15/12/2024	09:21:41
