Job	Running time [min]	Start date	Start time	End date	End time
Configuring 	0.01715778	08.12.2024	06:07:03	08.12.2024	06:07:04
Assemble run info 	0.119545534	08.12.2024	06:07:04	08.12.2024	06:07:11
Finish run info 	0.016793774	08.12.2024	06:07:11	08.12.2024	06:07:12
Testing fasta files 	0.033467766	08.12.2024	06:07:12	08.12.2024	06:07:14
Testing raw files 	0.03614053	08.12.2024	06:07:14	08.12.2024	06:07:16
Feature detection 	0.8366625	08.12.2024	06:07:16	08.12.2024	06:08:06
Deisotoping 	0.92003417	08.12.2024	06:08:06	08.12.2024	06:09:02
MS/MS preparation 	0.56980157	08.12.2024	06:09:02	08.12.2024	06:09:36
Calculating peak properties 	0.052919846	08.12.2024	06:09:36	08.12.2024	06:09:39
Combining apl files for first search 	0.6004107	08.12.2024	06:09:39	08.12.2024	06:10:15
Preparing searches 	30.835138	08.12.2024	06:10:15	08.12.2024	06:41:05
MS/MS first search 	901.07043	08.12.2024	06:41:05	08.12.2024	21:42:09
Read search results for recalibration 	1.4710068	08.12.2024	21:42:09	08.12.2024	21:43:38
Mass recalibration 	1.404442	08.12.2024	21:43:38	08.12.2024	21:45:02
Calculating masses 	0.13626544	08.12.2024	21:45:02	08.12.2024	21:45:10
MS/MS preparation for main search 	0.36980706	08.12.2024	21:45:10	08.12.2024	21:45:32
Combining apl files for main search 	0.60056573	08.12.2024	21:45:32	08.12.2024	21:46:08
MS/MS main search 	1662.1433	08.12.2024	21:46:08	10.12.2024	01:28:17
Preparing combined folder  	0.10020279	10.12.2024	01:28:17	10.12.2024	01:28:23
Correcting errors 	0.43372735	10.12.2024	01:28:23	10.12.2024	01:28:49
Reading search engine results 	1.1368669	10.12.2024	01:28:49	10.12.2024	01:29:57
Preparing reverse hits 	0.13354236	10.12.2024	01:29:57	10.12.2024	01:30:05
Finish search engine results 	0.05286974	10.12.2024	01:30:05	10.12.2024	01:30:08
Filter identifications (MS/MS) 	0.06985483	10.12.2024	01:30:08	10.12.2024	01:30:13
Calculating PEP 	4.636488	10.12.2024	01:30:13	10.12.2024	01:34:51
Copying identifications 	0.036520492	10.12.2024	01:34:51	10.12.2024	01:34:53
Applying FDR 	0.30029702	10.12.2024	01:34:53	10.12.2024	01:35:11
Assembling second peptide MS/MS 	0.46978366	10.12.2024	01:35:11	10.12.2024	01:35:39
Combining second peptide files 	0.16689317	10.12.2024	01:35:39	10.12.2024	01:35:49
Second peptide search 	942.63605	10.12.2024	01:35:49	10.12.2024	17:18:27
Reading search engine results (SP) 	0.46980953	10.12.2024	17:18:27	10.12.2024	17:18:55
Finish search engine results (SP) 	0.019483758	10.12.2024	17:18:55	10.12.2024	17:18:57
Filtering identifications (SP) 	0.036173888	10.12.2024	17:18:57	10.12.2024	17:18:59
Applying FDR (SP) 	0.58385116	10.12.2024	17:18:59	10.12.2024	17:19:34
Re-quantification 	0.019509315	10.12.2024	17:19:34	10.12.2024	17:19:35
Reporter quantification 	0.019584851	10.12.2024	17:19:35	10.12.2024	17:19:36
Prepare protein assembly 	0.4837403	10.12.2024	17:19:36	10.12.2024	17:20:05
Assembling proteins 	2.7879305	10.12.2024	17:20:05	10.12.2024	17:22:53
Assembling unidentified peptides 	0.01948489	10.12.2024	17:22:53	10.12.2024	17:22:54
Finish protein assembly 	1.6844999	10.12.2024	17:22:54	10.12.2024	17:24:35
Updating identifications 	0.01951266	10.12.2024	17:24:35	10.12.2024	17:24:36
Estimating complexity 	0.036190733	10.12.2024	17:24:36	10.12.2024	17:24:38
Prepare writing tables  	0.03347731	10.12.2024	17:24:38	10.12.2024	17:24:40
Writing tables 	1.2539241	10.12.2024	17:24:40	10.12.2024	17:25:55
Finish writing tables  	0.11684464	10.12.2024	17:25:55	10.12.2024	17:26:02
