Job	Running time [min]	Start date	Start time	End date	End time
Configuring 	0.017279109	10/12/2024	09:14:26	10/12/2024	09:14:27
Assemble run info 	0.050698686	10/12/2024	09:14:27	10/12/2024	09:14:30
Finish run info 	0.016791863	10/12/2024	09:14:30	10/12/2024	09:14:31
Testing fasta files 	0.016793407	10/12/2024	09:14:31	10/12/2024	09:14:32
Testing raw files 	0.034047533	10/12/2024	09:14:32	10/12/2024	09:14:34
Feature detection 	0.40112925	10/12/2024	09:14:34	10/12/2024	09:14:59
Deisotoping 	0.5179065	10/12/2024	09:14:59	10/12/2024	09:15:30
MS/MS preparation 	0.40096837	10/12/2024	09:15:30	10/12/2024	09:15:54
Calculating peak properties 	0.034061793	10/12/2024	09:15:54	10/12/2024	09:15:56
Combining apl files for first search 	0.05013309	10/12/2024	09:15:56	10/12/2024	09:15:59
Preparing searches 	28.406134	10/12/2024	09:15:59	10/12/2024	09:44:23
MS/MS first search 	81.85668	10/12/2024	09:44:23	10/12/2024	11:06:15
Read search results for recalibration 	0.20085448	10/12/2024	11:06:15	10/12/2024	11:06:27
Mass recalibration 	0.5844231	10/12/2024	11:06:27	10/12/2024	11:07:02
Calculating masses 	0.11750784	10/12/2024	11:07:02	10/12/2024	11:07:09
MS/MS preparation for main search 	0.46766537	10/12/2024	11:07:09	10/12/2024	11:07:37
Combining apl files for main search 	0.05015444	10/12/2024	11:07:37	10/12/2024	11:07:40
MS/MS main search 	154.71643	10/12/2024	11:07:40	10/12/2024	13:42:23
Preparing combined folder  	0.10016987	10/12/2024	13:42:23	10/12/2024	13:42:29
Correcting errors 	0.0668151	10/12/2024	13:42:29	10/12/2024	13:42:33
Reading search engine results 	0.36755106	10/12/2024	13:42:33	10/12/2024	13:42:55
Preparing reverse hits 	0.06682763	10/12/2024	13:42:55	10/12/2024	13:42:59
Finish search engine results 	0.034037896	10/12/2024	13:42:59	10/12/2024	13:43:01
Filter identifications (MS/MS) 	0.050737098	10/12/2024	13:43:01	10/12/2024	13:43:04
Calculating PEP 	0.36698017	10/12/2024	13:43:04	10/12/2024	13:43:26
Copying identifications 	0.034049287	10/12/2024	13:43:26	10/12/2024	13:43:28
Applying FDR 	0.06681375	10/12/2024	13:43:28	10/12/2024	13:43:32
Assembling second peptide MS/MS 	0.3342277	10/12/2024	13:43:32	10/12/2024	13:43:52
Combining second peptide files 	0.03347823	10/12/2024	13:43:52	10/12/2024	13:43:54
Second peptide search 	65.28184	10/12/2024	13:43:54	10/12/2024	14:49:11
Reading search engine results (SP) 	0.18414019	10/12/2024	14:49:11	10/12/2024	14:49:22
Finish search engine results (SP) 	0.017374663	10/12/2024	14:49:22	10/12/2024	14:49:23
Filtering identifications (SP) 	0.017362883	10/12/2024	14:49:23	10/12/2024	14:49:24
Applying FDR (SP) 	0.08351396	10/12/2024	14:49:24	10/12/2024	14:49:29
Re-quantification 	0.017403925	10/12/2024	14:49:29	10/12/2024	14:49:30
Reporter quantification 	0.017413348	10/12/2024	14:49:30	10/12/2024	14:49:31
Prepare protein assembly 	0.36698055	10/12/2024	14:49:31	10/12/2024	14:49:53
Assembling proteins 	0.45103353	10/12/2024	14:49:53	10/12/2024	14:50:20
Assembling unidentified peptides 	0.017375438	10/12/2024	14:50:20	10/12/2024	14:50:21
Finish protein assembly 	0.717226	10/12/2024	14:50:21	10/12/2024	14:51:04
Updating identifications 	0.017375933	10/12/2024	14:51:04	10/12/2024	14:51:05
Label-free preparation 	0.016804278	10/12/2024	14:51:05	10/12/2024	14:51:06
Label-free normalization 	0.03346288	10/12/2024	14:51:06	10/12/2024	14:51:08
Label-free quantification 	0.034051117	10/12/2024	14:51:08	10/12/2024	14:51:10
Label-free collect 	0.033466205	10/12/2024	14:51:10	10/12/2024	14:51:12
Estimating complexity 	0.034088124	10/12/2024	14:51:12	10/12/2024	14:51:14
Prepare writing tables  	0.033460867	10/12/2024	14:51:14	10/12/2024	14:51:16
Writing tables 	0.90142536	10/12/2024	14:51:16	10/12/2024	14:52:11
Finish writing tables  	0.033468142	10/12/2024	14:52:11	10/12/2024	14:52:13
