Name,UID,Biomolecular/Synthetic,Species Name,Species Tax Id,Proteins
"LEF1/β-catenin condensate","53379B70","Biomolecular","Homo sapiens",9606,"Q9UJU2	P35222"
"SCOTIN condensate","8DB3D246","Biomolecular","Homo sapiens",9606,"Q8N114	P55735	O94979"
"MARDO","51FB48F6","Biomolecular","Homo sapiens",9606,"Q86SH2	Q9Y2T7"
"DVL2 condensates","DA9A581A","Biomolecular","Homo sapiens",9606,"O14641"
"Ferritin –NCOA4 condensate","ECAD3DEA","Biomolecular","Homo sapiens",9606,"Q13772	P02794	P02792"
"Cytoplasmic bodies","1C4BF022","Biomolecular","Homo sapiens",9606,"Q13049	Q969Q1	Q9C035"
"Large dense-core vesicles","D1D0EBED","Biomolecular","Homo sapiens",9606,"Q02383"
"Insulin/IGF-1 signalosomes","1041FAE8","Biomolecular","Homo sapiens",9606,"P35568"
"Dishevelled condensate","EEA9CF61","Biomolecular","Homo sapiens",9606,"O14641"
"Wnt-Destruction complex","7FF4107C","Biomolecular","Homo sapiens",9606,"P35222	P49840"
"BAG2","4E66F2E3","Biomolecular","Homo sapiens",9606,"O95816"
"Enhancer cluster","7F36219C","Biomolecular","Homo sapiens",9606,"O15054"
"Chromogranin condensates","2ECFBB9C","Biomolecular","Homo sapiens",9606,"P10645"
"ArgBP2 dendritic spine condensate","4DFA2D97","Biomolecular","Homo sapiens",9606,"O94875"
"KAT8-IRF1 condensate","FF7BB011","Biomolecular","Homo sapiens",9606,"H3BMX5	B4DQF0"
"NEDD4 condensates","03E7CE7B","Biomolecular","Homo sapiens",9606,"P46934	P46937	Q9UBE8"
"IFN-I transcriptional condensate","02F8D883","Biomolecular","Homo sapiens",9606,"M0R0X9	Q92985"
